Thread ID,Function,Average,Max,Min,Call 
35712,Map_1 PathFind,5196.558163§Á, 7754.200000§Á, 3475.500000§Á, 98
35712,Map_2 PathFind,5425.388776§Á, 8134.400000§Á, 4213.200000§Á, 98
35712,Map_3 PathFind,4710.585714§Á, 7076.800000§Á, 3769.200000§Á, 98

